LOCID,LOC_with_putative_gene_name
LOC121406764,LOC121406764:Sfrs17a
LOC121406804,LOC121406804:C4orf29L
LOC121406813,LOC121406813:Dctd-1
LOC121406827,LOC121406827:Slc16a12L-14
LOC121406840,LOC121406840:Nsun7l
LOC121406858,LOC121406858:Ankle2
LOC121406892,LOC121406892:Crj1L
LOC121406951,LOC121406951:Aga
LOC121406941,LOC121406941:Slc5a11-2
LOC121406932,LOC121406932:Glyt1L
LOC121406966,LOC121406966:Vegf2
LOC121406985,LOC121406985:Pir-2
LOC121407001,LOC121407001:NA
LOC121407009,LOC121407009:Hypp-942
LOC121407042,LOC121407042:Pir
LOC121407036,LOC121407036:Pme1
LOC121407022,LOC121407022:Aif
LOC121407054,LOC121407054:Edrf1L
LOC121407093,LOC121407093:Commd8
LOC121407102,LOC121407102:Transaa-1
LOC121406955,LOC121406955:C2cd3-2
LOC121407138,LOC121407138:Canx
LOC121407156,LOC121407156:Ccdc138
LOC121407164,LOC121407164:Pir-2
LOC121407181,LOC121407181:Hypp-942
LOC121407201,LOC121407201:Pir
LOC121407228,LOC121407228:Pme1
LOC121407238,LOC121407238:Aif
LOC121407251,LOC121407251:Edrf1L
LOC121407260,LOC121407260:Hlf
LOC121407282,LOC121407282:Commd8
LOC121407289,LOC121407289:Transaa-1
LOC121407306,LOC121407306:C2cd3-2
LOC121407316,LOC121407316:Canx
LOC121407317,LOC121407317:Ccdc138
LOC121407319,LOC121407319:Dach1
LOC121407329,LOC121407329:Dach1
LOC121407369,LOC121407369:Tmem33
LOC121407392,LOC121407392:CTI
LOC121407377,LOC121407377:Hypp-892
ribo-LOC121407423,ribo-LOC121407423:Rps3
LOC121407438,LOC121407438:Lrrc29-1
LOC121407447,LOC121407447:Pgm2l1
LOC121407455,LOC121407455:Fhdc1-2
LOC121407471,LOC121407471:Hypp-3025
LOC121407487,LOC121407487:Inf2L
LOC121407507,LOC121407507:Slc16a1L
LOC121407516,LOC121407516:none
LOC121407541,LOC121407541:Commd5
LOC121407526,LOC121407526:Coro7
LOC121407562,LOC121407562:Hypp-402
LOC121407589,LOC121407589:none
LOC121407597,LOC121407597:Kidins220L-2
LOC121407611,LOC121407611:Mospd2
LOC121407635,LOC121407635:122C
LOC121407665,LOC121407665:Glyt-1
LOC121407706,LOC121407706:Pgrmc1
LOC121407726,LOC121407726:Hypp-2088
LOC121407716,LOC121407716:Rwdd2b
LOC121407749,LOC121407749:Nckap1
LOC121407775,LOC121407775:none
ribo-LOC121407789,ribo-LOC121407789:none
LOC121407797,LOC121407797:Chst12-1
LOC121407813,LOC121407813:MplL
LOC121407831,LOC121407831:Gpm6b
LOC121407840,LOC121407840:Rrm1
LOC121407861,LOC121407861:Fam114a2
LOC121407877,LOC121407877:Nupl1
LOC121407903,LOC121407903:none
LOC121407915,LOC121407915:SybL1
LOC121407945,LOC121407945:Ilk
LOC121407937,LOC121407937:Hsp100A
LOC121407983,LOC121407983:Hypp-1147
LOC121407991,LOC121407991:Pcm1
LOC121408009,LOC121408009:Trappc2
LOC121406136,LOC121406136:Srd5a2l
LOC121408028,LOC121408028:Pfas
LOC121408036,LOC121408036:Hypp-747
LOC121408059,LOC121408059:Supt20
LOC121408082,LOC121408082:none
LOC121408074,LOC121408074:Alg5
LOC121408094,LOC121408094:Smad1/5/8-1
LOC121408104,LOC121408104:Alg5
LOC121408117,LOC121408117:Smad1/5/8-1
LOC121408128,LOC121408128:Mtusl
LOC121408146,LOC121408146:Slain2
LOC121408188,LOC121408188:none
LOC121408198,LOC121408198:Nfxl1
LOC121408213,LOC121408213:Ube3a
LOC121408229,LOC121408229:Pih1d3
LOC121408220,LOC121408220:Sgcb
LOC121408250,LOC121408250:Adcy10
LOC121408273,LOC121408273:Slc10a7
LOC121407296,LOC121407296:Rnf219
LOC121408306,LOC121408306:Brn3
LOC121408313,LOC121408313:Taf1-1
LOC121408332,LOC121408332:NmbrL
LOC121408345,LOC121408345:none
LOC121408338,LOC121408338:NkrfL
LOC121408354,LOC121408354:none
LOC121408361,LOC121408361:Aht1L
LOC121408387,LOC121408387:none
LOC121408372,LOC121408372:ScavrB2L1
LOC121408411,LOC121408411:B3galt1-4
LOC121408420,LOC121408420:Cd36antigenL
LOC121408430,LOC121408430:Rld2L
LOC121408449,LOC121408449:Inpp4b
LOC121408481,LOC121408481:Slc25a15
LOC121407610,LOC121407610:Drk
LOC121408511,LOC121408511:Prhoxnb
LOC121408529,LOC121408529:Prhoxnb
LOC121408519,LOC121408519:Vps37ha
LOC121408556,LOC121408556:Mitd1
LOC121408571,LOC121408571:Fbxl21
LOC121408586,LOC121408586:Nudcd2l
LOC121408600,LOC121408600:Gemin5
LOC121408608,LOC121408608:C8orf48L
LOC121408636,LOC121408636:Myd88L2
LOC121408645,LOC121408645:PompL
LOC121408654,LOC121408654:Ubn2
LOC121408688,LOC121408688:Tec
LOC121406176,LOC121406176:none
LOC121408699,LOC121408699:Tmem131
LOC121408708,LOC121408708:Hypp-3064
LOC121408719,LOC121408719:Zdhhc2
LOC121408748,LOC121408748:Dnaja3
LOC121408780,LOC121408780:Mat2b
LOC121408800,LOC121408800:Glyt
LOC121408832,LOC121408832:Graf
LOC121408921,LOC121408921:Txndc9
LOC121408932,LOC121408932:Cramp1L
LOC121408941,LOC121408941:none
LOC121408950,LOC121408950:TfIIIa
LOC121408967,LOC121408967:Mtif3L
LOC121429743,LOC121429743:Rhogef17
LOC121408991,LOC121408991:Sra1L
LOC121409000,LOC121409000:Hypp-232
ribo-LOC121409013,ribo-LOC121409013:none
LOC121409025,LOC121409025:Spg20
LOC121409035,LOC121409035:none
LOC121409043,LOC121409043:Alg11
LOC121406193,LOC121406193:Sterol-oxd
LOC121409056,LOC121409056:Odz3
LOC121409141,LOC121409141:Naga
LOC121409165,LOC121409165:Hypp-3127
LOC121409186,LOC121409186:Taf1
LOC121409196,LOC121409196:Orc2
LOC121409206,LOC121409206:Hypp-229
LOC121409247,LOC121409247:Gstcd
LOC121409262,LOC121409262:Phka2
LOC121409278,LOC121409278:Kiaa1456L
LOC121409286,LOC121409286:Atp8a1-1
LOC121409311,LOC121409311:Exosc9
LOC121409320,LOC121409320:Hmg1
LOC121409333,LOC121409333:none
LOC121409363,LOC121409363:Mmr2L
LOC121409374,LOC121409374:none
LOC121409397,LOC121409397:none
LOC121409406,LOC121409406:Ppef2
LOC121409442,LOC121409442:CycA
LOC121409454,LOC121409454:Upk-1
LOC121409499,LOC121409499:Pdzd8
LOC121409527,LOC121409527:Recql5-1
LOC121409539,LOC121409539:none
LOC121409551,LOC121409551:St6galnac5-1
LOC121409562,LOC121409562:Eif3s5L
LOC121409580,LOC121409580:Taf7
LOC121429844,LOC121429844:Hypp-2675
LOC121406269,LOC121406269:Polr1d
LOC121409591,LOC121409591:Amdhd2
LOC121409610,LOC121409610:NA
LOC121429888,LOC121429888:Notchh1-7
LOC121409641,LOC121409641:Hypp-703
LOC121409657,LOC121409657:Tbc1d19
LOC121409666,LOC121409666:Tbc1d19
LOC121409702,LOC121409702:Lucf-3
LOC121409713,LOC121409713:Chl1l
LOC121409731,LOC121409731:Ing1
LOC121409768,LOC121409768:Reeler/Ring
LOC121409784,LOC121409784:Ankrd10
LOC121409821,LOC121409821:Slc5a9-5
LOC121409837,LOC121409837:Mrto
LOC121409853,LOC121409853:Rab30l
LOC121409869,LOC121409869:Ufsp2
LOC121409905,LOC121409905:Bbs7-1
LOC121409914,LOC121409914:Sept6
LOC121409924,LOC121409924:Sclt1
LOC121409951,LOC121409951:Hypp-1867
LOC121409961,LOC121409961:Dhrsx-2
LOC121406336,LOC121406336:BcatL
LOC121409970,LOC121409970:Pdpi(cyclophilin)L5
LOC121410024,LOC121410024:Pdpi(cyclophilin)L5
LOC121406343,LOC121406343:BcatL
LOC121410034,LOC121410034:Dhrsx-2
LOC121410045,LOC121410045:Hypp-1867
LOC121410053,LOC121410053:Trim2
LOC121410063,LOC121410063:Sclt1
LOC121429949,LOC121429949:Sclt1
LOC121410072,LOC121410072:Sept6
LOC121410080,LOC121410080:Bbs7-1
LOC121410094,LOC121410094:Ufsp2
LOC121410104,LOC121410104:Rab30l
LOC121410110,LOC121410110:Mrto
LOC121410124,LOC121410124:Slc5a9-5
LOC121410133,LOC121410133:Ankrd10
LOC121410164,LOC121410164:Reeler/Ring
LOC121410182,LOC121410182:Reeler/Ring
LOC121410194,LOC121410194:Gpr161L-2
LOC121410218,LOC121410218:Ing1
LOC121410226,LOC121410226:Chl1l
LOC121410240,LOC121410240:Lucf-3
LOC121410260,LOC121410260:AsicL4
LOC121410273,LOC121410273:Tbc1d19
LOC121430036,LOC121430036:Tbc1d19
LOC121410277,LOC121410277:Hypp-703
LOC121410293,LOC121410293:Srcr127
LOC121410303,LOC121410303:NA
LOC121410315,LOC121410315:Amdhd2
LOC121410338,LOC121410338:Hypp-2675
LOC121410355,LOC121410355:Taf7
LOC121410362,LOC121410362:Eif3s5L
LOC121410369,LOC121410369:St6galnac5-1
LOC121410382,LOC121410382:none
LOC121410391,LOC121410391:Recql5-1
LOC121410403,LOC121410403:Pdzd8
LOC121410408,LOC121410408:Zdhhc17-1
LOC121410419,LOC121410419:Upk-1
LOC121410426,LOC121410426:CycA
LOC121410480,LOC121410480:Lipk
LOC121430076,LOC121430076:none
LOC121430086,LOC121430086:none
LOC121410510,LOC121410510:Thoc2
LOC121410538,LOC121410538:Thoc2
LOC121410545,LOC121410545:none
LOC121410558,LOC121410558:none
LOC121410574,LOC121410574:Lipk
LOC121410620,LOC121410620:Sug
LOC121410664,LOC121410664:Ids-4
LOC121410765,LOC121410765:Hypp474
LOC121430232,LOC121430232:Ids-7
LOC121410828,LOC121410828:Ids-7
LOC121410841,LOC121410841:Nup54
LOC121410851,LOC121410851:none
LOC121410857,LOC121410857:Zmat2
LOC121410864,LOC121410864:Hsp902A
LOC121410878,LOC121410878:Tbc1d4L-1
LOC121410898,LOC121410898:Airc
LOC121410913,LOC121410913:Xpapd2Lmb-1
LOC121410921,LOC121410921:Spata5
LOC121410928,LOC121410928:NA
LOC121410935,LOC121410935:none
LOC121430250,LOC121430250:Aadat-5
LOC121410946,LOC121410946:NA
LOC121410957,LOC121410957:Nek1
LOC121410967,LOC121410967:Cbp
LOC121411005,LOC121411005:Adcy9
LOC121411023,LOC121411023:Jip3-1
LOC121411060,LOC121411060:Ids-7
LOC121411085,LOC121411085:Nup54
LOC121411100,LOC121411100:Hsp902A
LOC121411116,LOC121411116:Tbc1d4L-1
LOC121411141,LOC121411141:Airc
LOC121430320,LOC121430320:Xpapd2Lmb-1
LOC121411165,LOC121411165:Spata5
LOC121411169,LOC121411169:NA
LOC121411176,LOC121411176:none
LOC121411186,LOC121411186:Aadat-5
LOC121411204,LOC121411204:Tnfrsf-cl1
LOC121411214,LOC121411214:NA
LOC121411221,LOC121411221:Nek1
LOC121411250,LOC121411250:Cbp
LOC121411296,LOC121411296:Adcy9
LOC121411328,LOC121411328:Jip3-2
LOC121411374,LOC121411374:Hdac2
LOC121411386,LOC121411386:Hypp3113
LOC121411407,LOC121411407:Trim3L-2
LOC121411420,LOC121411420:Ufm1
LOC121411428,LOC121411428:Nme2
LOC121411436,LOC121411436:Klhl5-2
LOC121411453,LOC121411453:Mtmr6/7/8
LOC121411466,LOC121411466
LOC121411477,LOC121411477:NatL-1
LOC121411502,LOC121411502
LOC121411513,LOC121411513:Nlr5
LOC121411521,LOC121411521:Sdad1
LOC121411534,LOC121411534:Tif2L
LOC121411542,LOC121411542:Frag1
ribo-LOC121411554,ribo-LOC121411554:Rpl9
LOC121411568,LOC121411568:Fchsd2
ribo-LOC121411586,ribo-LOC121411586:Rrp8L
LOC121411598,LOC121411598:Gnpda
LOC121411608,LOC121411608:Tdrd3L-1
LOC121411624,LOC121411624:Oca2
LOC121411643,LOC121411643:Atp7a
LOC121411679,LOC121411679:Ppat
LOC121411658,LOC121411658:Adck2-2
LOC121411693,LOC121411693:Rab9
LOC121430348,LOC121430348:Tmem185a
LOC121411702,LOC121411702:Mals
LOC121411717,LOC121411717:Zcsl2
LOC121411726,LOC121411726:Frg1-1
ribo-LOC121411735,ribo-LOC121411735:Rpl31
LOC121411744,LOC121411744:Hypp-2038
LOC121411781,LOC121411781:Kif4
LOC121411794,LOC121411794:Hypp3139
LOC121411800,LOC121411800:GhdcL8
LOC121411808,LOC121411808:Glis2-1
LOC121411826,LOC121411826:none
LOC121411837,LOC121411837:Ephx2-2
LOC121411861,LOC121411861:Yipf6
LOC121411871,LOC121411871:Ars
LOC121411889,LOC121411889:St6galnac4
LOC121411918,LOC121411918:Diaph-1
LOC121411932,LOC121411932:none
LOC121411952,LOC121411952:Pnca
LOC121411960,LOC121411960:FhipL
LOC121411980,LOC121411980:Stim1
LOC121412006,LOC121412006:none
LOC121412024,LOC121412024:none
LOC121412044,LOC121412044:Slc13a2
LOC121412082,LOC121412082:E2
LOC121412092,LOC121412092:Prps1
LOC121412103,LOC121412103:none
LOC121412113,LOC121412113:Hsp703B
LOC121430421,LOC121430421:Nbea
LOC121412155,LOC121412155:Nbea-1
LOC121412249,LOC121412249:Asah1
LOC121412278,LOC121412278:Utp18
LOC121412306,LOC121412306:Alg13
LOC121412352,LOC121412352:CycI
LOC121412378,LOC121412378:CycG
LOC121412398,LOC121412398
LOC121412403,LOC121412403:Frem2
LOC446166,LOC446166:Frem2
LOC121412420,LOC121412420:Npac
LOC121412442,LOC121412442:Unk-54
LOC121412452,LOC121412452:none
LOC121412473,LOC121412473:Slc16a12L-9
LOC121412481,LOC121412481:Clcn3
ribo-LOC121412515,ribo-LOC121412515:Rpl21
LOC121412527,LOC121412527:Usp46L
LOC121412537,LOC121412537:Spsc3h
LOC121412598,LOC121412598:Usp46L
LOC121412610,LOC121412610:Ofd1L
LOC121412645,LOC121412645:C8orf45L
LOC121412667,LOC121412667:Hagb
LOC121412656,LOC121412656:Mfsd6
LOC121412678,LOC121412678:Mfsd6
LOC121412705,LOC121412705:Sgcz
LOC121412717,LOC121412717:Magt1
LOC121412729,LOC121412729:Fat
LOC121412741,LOC121412741:Fat
LOC121412764,LOC121412764:Rfp150L
LOC121412771,LOC121412771:Efcab8L
LOC121412797,LOC121412797:Mfsd6
LOC121412814,LOC121412814:Gemin8
LOC121412825,LOC121412825:Dachs
LOC121412844,LOC121412844:Ugt2b1
LOC121412862,LOC121412862:Atrx
LOC121412879,LOC121412879:Rfc3
LOC121412909,LOC121412909:Zadh1
LOC121412919,LOC121412919:Shroom4L
LOC121412939,LOC121412939:Dctd
LOC121412946,LOC121412946:none
LOC121412955,LOC121412955:Dcun1d4
LOC121412976,LOC121412976:Cytd2hc
LOC121406422,LOC121406422:none
LOC121412993,LOC121412993:Ppm1g
LOC121413035,LOC121413035:Stbd1
LOC121413045,LOC121413045:Trpc5-1
LOC121413067,LOC121413067:NA
LOC121413087,LOC121413087:Ef1a
LOC121413120,LOC121413120:none
LOC121413130,LOC121413130:Hypp-521
LOC121413136,LOC121413136:none
LOC121413151,LOC121413151:none
LOC121413161,LOC121413161:Hypp-646
LOC121413177,LOC121413177:Vps36
LOC121430491,LOC121430491:Hypp-1023
LOC121430498,LOC121430498:NA
LOC121413193,LOC121413193:Aasdh-1
LOC121413232,LOC121413232:Kiaa1109L
LOC121413253,LOC121413253:Pcf11
LOC121413272,LOC121413272
LOC121413313,LOC121413313:Rnf121
LOC121413351,LOC121413351:Kif27L
ribo-LOC121413357,ribo-LOC121413357:Rps3A
LOC121413376,LOC121413376:YjeFk
LOC121413367,LOC121413367:Guf1
LOC121413389,LOC121413389:Klf3/8/12
LOC121413415,LOC121413415:Mcts1
LOC121413425,LOC121413425:Abce1
LOC121413439,LOC121413439:Galnt10
LOC121413449,LOC121413449:Hypp-189
LOC121413472,LOC121413472:Alg8h
LOC121413491,LOC121413491:Gabbr1-3
LOC121413499,LOC121413499:C4orf27
LOC121413510,LOC121413510:Matn2L
LOC121413541,LOC121413541:Ids-2
LOC121413547,LOC121413547:Slc25a24
LOC121413556,LOC121413556:Pgk1
LOC121406428,LOC121406428:HdLhd3
LOC121413580,LOC121413580:Cradd1
LOC121413593,LOC121413593:FancbL
LOC121413648,LOC121413648:Hypp-1064
LOC121413603,LOC121413603:Nup98
LOC121406429,LOC121406429:none
LOC121413701,LOC121413701:Inturned-1
LOC121413720,LOC121413720:Hypp-321
LOC121413728,LOC121413728:none
LOC121413739,LOC121413739:Wdr19-2
LOC121413757,LOC121413757:none
LOC121413767,LOC121413767:Srebp
LOC121413780,LOC121413780:Sqst1L
LOC121413785,LOC121413785:Ttc29
LOC121413804,LOC121413804:Coq2
LOC121413810,LOC121413810:Sh3rf1
LOC121413828,LOC121413828:Hypp-820
LOC121413838,LOC121413838:Nocturnin
LOC121413854,LOC121413854:Sugt1L
LOC121413863,LOC121413863:none
LOC121413873,LOC121413873:ElfA
LOC121413907,LOC121413907:Slc23a1
LOC121413913,LOC121413913:Tbc1d15-1
LOC121413929,LOC121413929:NA
LOC121413934,LOC121413934:Unc50
LOC121413942,LOC121413942:L3mbt-1
LOC121413951,LOC121413951:Hmmr
LOC121413967,LOC121413967:Hp-Loc200403L-1
LOC121430596,LOC121430596:Gucy1a3
LOC121430606,LOC121430606:Gucy1b3
LOC121414007,LOC121414007:Aasdhppt
LOC121414022,LOC121414022:Rad50-2
LOC121414033,LOC121414033:Stxbp4
LOC121414047,LOC121414047:AsmtL
LOC121414056,LOC121414056:Cnot8
LOC121414064,LOC121414064:Spata4
LOC121414072,LOC121414072:Wdr17
LOC121414096,LOC121414096:Tmem165
LOC121414112,LOC121414112:Phf17-1
LOC121414122,LOC121414122:Sh3d19L
LOC121414130,LOC121414130:Sak
LOC121414154,LOC121414154:LgsnL12
LOC121414170,LOC121414170:Eda2rL1
LOC121414187,LOC121414187:Nudfc2
LOC121414194,LOC121414194:NA
LOC121414204,LOC121414204:Mycbp2
LOC121414236,LOC121414236:Pwp2h
LOC121414246,LOC121414246:Atp16
LOC121414256,LOC121414256:Rbm26
LOC121414283,LOC121414283
LOC121414291,LOC121414291:Chst14-2
LOC121414344,LOC121414344:Wbp4
LOC121414367,LOC121414367:Ube2a
LOC121414375,LOC121414375:Hypp-2112
LOC121414386,LOC121414386:Clect-106
LOC121414441,LOC121414441:none
LOC121414455,LOC121414455:Gluld1
LOC121414465,LOC121414465:Pan3
LOC121414489,LOC121414489:Centd
LOC121414534,LOC121414534:Hypp-2828
LOC121414544,LOC121414544:PolydL
LOC121414602,LOC121414602:Tnfrsf-cl2
LOC121414618,LOC121414618:ReelerL-5
LOC121414634,LOC121414634:Hypp-650
LOC121414671,LOC121414671:St6galnac5-2
LOC121414708,LOC121414708:Ttrl
LOC121414722,LOC121414722:Usp38
LOC121414731,LOC121414731:Rab33
LOC121430649,LOC121430649:Arg
LOC121414742,LOC121414742:Lycat-2
LOC121414753,LOC121414753:Cyp2L36
LOC121414764,LOC121414764
LOC121414799,LOC121414799:none
LOC121430658,LOC121430658:none
LOC121414871,LOC121414871:Astacin1
LOC121414883,LOC121414883:AnL8-1
LOC121414893,LOC121414893:none
LOC121414944,LOC121414944:Slc6a9
LOC121430705,LOC121430705:Hypp-235
LOC121414962,LOC121414962:GabrA
LOC121414973,LOC121414973:Glur2-1
LOC121415015,LOC121415015:Nsdhl
LOC121415029,LOC121415029:Alkbh8
LOC121415036,LOC121415036:Alkbh8
LOC121415061,LOC121415061:Sumo
LOC121415096,LOC121415096:EgfiL-3
LOC121415112,LOC121415112:NA
LOC121415241,LOC121415241:Ncdn
LOC121415318,LOC121415318:Smu1L
LOC121415354,LOC121415354:Smu1L
LOC121430782,LOC121430782:none
ribo-LOC121415378,ribo-LOC121415378:Mrpl22
LOC121415389,LOC121415389:Slco4a1-8
LOC121415414,LOC121415414:Mett5d1
LOC121415438,LOC121415438:Polr2i
LOC121415447,LOC121415447:Fbw2
LOC121430836,LOC121430836:none
LOC121430844,LOC121430844:Trpc-1
LOC121415508,LOC121415508:NA
LOC121415536,LOC121415536:Spag1
LOC121415561,LOC121415561:CspeN2a
LOC121415585,LOC121415585:Tdrd7L
LOC121430866,LOC121430866
LOC121415604,LOC121415604:Pef1
LOC121415613,LOC121415613:NA
LOC121406464,LOC121406464:NA
LOC121415627,LOC121415627:Hypp524
LOC121415648,LOC121415648:Kiaa0543L
LOC121415711,LOC121415711:none
LOC121415767,LOC121415767:Cyp2L46
LOC121415784,LOC121415784:Slc18b1L
LOC121415808,LOC121415808:Kif13BL
LOC121415848,LOC121415848:Cap1
LOC121415854,LOC121415854:Hypp-1239
LOC121415863,LOC121415863:Mfnl2
LOC121415891,LOC121415891:Slc20a1-3
LOC121406467,LOC121406467:Slc16a12-5
LOC121415911,LOC121415911:Hypp-265
LOC121415947,LOC121415947:Lpin2
LOC121415989,LOC121415989:Z64
LOC121415995,LOC121415995:NA
